                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78391,                 1.8686,                0.95018,                0.00434,                  0.222,                0.14028,                0.04923,                  2.373,                 4.0003,                  2.412,               0.067676,             2.9118e-05,             2.9118e-05
                      2,                0.41201,                0.49258,                0.80659,                      1,                0.41255,                0.78468,                0.59173,                 1.1241,                 2.4254,                 1.0603,                0.03437,             5.6162e-05,             5.6162e-05
                      3,                0.33335,                0.36902,                0.79288,                0.99428,                0.95235,                0.98758,                0.90641,                0.47804,                0.62758,                0.77741,              0.0010606,             8.0207e-05,             8.0207e-05
                      4,                 0.2897,                0.31348,                0.78568,                0.95666,                0.94485,                0.98702,                0.94211,                0.40373,                0.48536,                0.79034,             7.6501e-05,             7.6501e-05,             7.6501e-05
                      5,                0.26442,                 0.2783,                0.78266,                0.90995,                 0.9356,                 0.9736,                0.92866,                 0.4069,                0.47817,                0.78171,             7.6501e-05,             7.6501e-05,             7.6501e-05
                      6,                0.24252,                0.25073,                0.77993,                0.84878,                0.91289,                0.92367,                0.88965,                0.37795,                0.51271,                0.77269,             7.2001e-05,             7.2001e-05,             7.2001e-05
                      7,                0.22553,                0.23289,                 0.7786,                0.86935,                0.88767,                0.93233,                0.88826,                0.43308,                0.53277,                0.80107,             6.7502e-05,             6.7502e-05,             6.7502e-05
                      8,                0.21476,                 0.2198,                0.77664,                0.88134,                0.91986,                0.94112,                0.89945,                0.40116,                0.45788,                 0.7803,             6.3002e-05,             6.3002e-05,             6.3002e-05
                      9,                0.20638,                0.20978,                0.77612,                0.85978,                0.90647,                0.93253,                0.88953,                0.40131,                0.47993,                0.77665,             5.8503e-05,             5.8503e-05,             5.8503e-05
                     10,                0.19538,                0.19968,                0.77493,                0.90625,                0.89099,                0.95072,                0.90738,                0.39872,                0.44869,                0.77619,             5.4003e-05,             5.4003e-05,             5.4003e-05
                     11,                0.18431,                0.19068,                 0.7742,                0.87748,                0.88701,                0.93571,                0.88927,                0.40655,                0.49075,                0.77516,             4.9503e-05,             4.9503e-05,             4.9503e-05
                     12,                0.17603,                0.18431,                0.77349,                 0.9058,                0.89199,                0.94218,                0.90101,                0.38206,                0.46623,                0.76599,             4.5004e-05,             4.5004e-05,             4.5004e-05
                     13,                0.17087,                 0.1794,                0.77304,                0.86895,                0.90103,                0.93491,                0.89046,                0.41036,                 0.4892,                0.77531,             4.0504e-05,             4.0504e-05,             4.0504e-05
                     14,                0.16066,                0.17251,                0.77193,                0.91534,                0.90791,                0.96079,                0.91297,                0.40631,                 0.4211,                0.77165,             3.6004e-05,             3.6004e-05,             3.6004e-05
                     15,                0.15634,                0.16839,                0.77183,                0.88397,                0.92832,                0.95029,                0.90952,                 0.3813,                0.44474,                0.76913,             3.1505e-05,             3.1505e-05,             3.1505e-05
                     16,                0.15069,                0.16453,                0.77141,                0.89404,                0.92633,                0.95328,                0.91205,                0.37993,                 0.4353,                0.76976,             2.7005e-05,             2.7005e-05,             2.7005e-05
                     17,                0.14582,                0.16009,                0.77082,                0.87252,                0.91588,                0.94297,                0.90066,                0.39501,                0.46603,                 0.7705,             2.2505e-05,             2.2505e-05,             2.2505e-05
                     18,                0.13745,                0.15504,                0.76997,                0.90422,                0.88349,                0.94055,                0.89795,                0.38875,                0.46389,                0.76771,             1.8006e-05,             1.8006e-05,             1.8006e-05
                     19,                 0.1338,                0.15242,                0.77011,                0.90377,                0.88351,                0.94194,                0.89743,                 0.3978,                0.47312,                0.77001,             1.3506e-05,             1.3506e-05,             1.3506e-05
                     20,                0.12912,                0.14976,                0.76995,                0.90125,                0.90194,                0.94973,                0.90651,                0.39551,                0.45288,                0.76978,             9.0065e-06,             9.0065e-06,             9.0065e-06
